,gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,playNullifiedByPenalty,absoluteYardlineNumber,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,expectedPoints,offenseFormation,receiverAlignment,playClockAtSnap,passResult,passLength,targetX,targetY,playAction,dropbackType,dropbackDistance,passLocationType,timeToThrow,timeInTackleBox,timeToSack,passTippedAtLine,unblockedPressure,qbSpike,qbKneel,qbSneak,rushLocationType,penaltyYards,prePenaltyYardsGained,yardsGained,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPointsAdded,isDropback,pff_runConceptPrimary,pff_runConceptSecondary,pff_runPassOption,pff_passCoverage,pff_manZone,swing_play
49,2022100209,1698,"(3:10) T.Lawrence FUMBLES (Aborted) at JAX 34, RECOVERED by PHI-H.Reddick at JAX 35.",2,3,1,JAX,PHI,JAX,34,03:10,14,14,N,44,0.573358278721571,0.426641721278429,1.27628148812801,SINGLEBACK,3x1,6.0,,,,,False,,,,,,,,,,0,True,OUTSIDE_LEFT,,0,1,0.11611245945096,-0.11611245945096,-4.64149445074145,False,SNEAK,,0,Cover-1,Man,1
61,2022103001,3953,"(:23) (Shotgun) P.Walker pass deep left to D.Moore for 62 yards, TOUCHDOWN. PENALTY on CAR-D.Moore, Unsportsmanlike Conduct, 15 yards, enforced between downs.",4,1,10,CAR,ATL,CAR,38,00:23,34,28,N,48,0.975134246641149,0.0248657533588509,0.548561290837824,SHOTGUN,3x1,10.0,C,62.0,112.35,40.71,False,SCRAMBLE,4.59000015258789,OUTSIDE_LEFT,5.438,3.5,,False,False,False,0,,,-15.0,62,62,-0.834887220089634,0.834887220089634,6.45143870916218,True,,,0,Cover-3 Double Cloud,Zone,1
75,2022101600,1215,"(7:13) (Shotgun) J.Garoppolo pass short right to B.Aiyuk for 14 yards, TOUCHDOWN [A.Ebiketie].",2,2,9,SF,ATL,ATL,14,07:13,14,7,N,24,0.573628649115562,0.426371350884438,4.43065281707095,EMPTY,3x2,1.0,C,2.0,21.9,38.66,False,TRADITIONAL,2.73000001907349,INSIDE_BOX,2.436,2.43600010871887,,False,False,False,0,,,,14,14,-0.103164155036211,0.103164155036211,2.56934718292905,True,,,0,Cover-1,Man,1
85,2022101601,2092,(14:21) (Shotgun) B.Zappe pass short right to J.Smith to CLV 21 for 53 yards (M.Emerson).,3,2,9,NE,CLE,NE,26,14:21,6,10,N,36,0.400523588061333,0.599476411938667,0.659878345672041,SHOTGUN,2x2,7.0,C,14.0,48.93,13.3,True,TRADITIONAL,1.75,INSIDE_BOX,2.068,2.06800007820129,,False,False,False,0,,,,53,53,-0.139861162751913,0.139861162751913,4.1628233504016,True,UNDEFINED,,0,Cover-1,Man,1
105,2022101000,2631,(6:31) (Shotgun) P.Mahomes pass deep right to M.Hardman ran ob at LV 27 for 28 yards (J.Abram).,3,3,8,KC,LV,KC,45,06:31,17,20,N,55,0.487327978014946,0.512672021985054,1.32064210204408,SHOTGUN,3x1,4.0,C,21.0,76.78,9.48,False,TRADITIONAL,6.25,INSIDE_BOX,4.071,4.07100009918213,,False,False,False,0,,,,28,28,0.115242391824722,-0.115242391824722,3.08724167081527,True,,,0,Cover-1,Man,1
142,2022091804,2966,"(15:00) L.Fournette left guard to TB 19 for no gain (S.Tuttle). INJURY UPDATE: TB 25-G.Bernard, ankle, OUT.  72-J.Wells, OUT.  96-A.Hicks, OUT.",4,3,1,TB,NO,TB,19,15:00,3,3,N,91,0.470545399934053,0.529454600065947,0.100622879341245,SINGLEBACK,3x1,12.0,,,,,False,,,,,,,,,,0,False,INSIDE_LEFT,,0,0,0.108417879790068,-0.108417879790068,-1.91767538851127,False,MAN,,0,Cover-1,Man,1
149,2022091810,3232,(15:00) (Shotgun) R.Wilson pass deep left to C.Sutton to HST 33 for 35 yards (J.Owens).,4,3,16,DEN,HOU,DEN,32,15:00,6,9,N,42,0.515321850776672,0.484678149223328,-0.778347432613373,SHOTGUN,3x1,7.0,C,32.0,72.54,47.08,False,TRADITIONAL,4.88000011444092,INSIDE_BOX,4.137,4.13700008392334,,False,False,False,0,,,,35,35,0.188877515494823,-0.188877515494823,4.49488300585654,True,,,0,Cover-2,Zone,1
162,2022092900,1672,"(2:58) (Shotgun) J.Burrow pass deep left to T.Higgins for 59 yards, TOUCHDOWN.",2,3,11,CIN,MIA,CIN,41,02:58,7,6,N,51,0.626541744917631,0.373458255082369,0.598761340719648,SHOTGUN,2x2,3.0,C,27.0,76.97,51.81,False,TRADITIONAL,2.73000001907349,INSIDE_BOX,2.136,2.13599991798401,,False,False,False,0,,,,59,59,0.132966291159391,-0.132966291159391,6.40123865928035,True,,,0,Bracket,Other,1
164,2022103009,3501,(:22) (Shotgun) S.Ehlinger pass incomplete deep left to M.Pittman.,4,1,10,IND,WAS,IND,25,00:22,16,17,N,35,0.218981425960859,0.781018574039141,0.321272195898928,SHOTGUN,3x1,13.0,I,19.0,53.54,35.8,False,TRADITIONAL,4.78000020980835,INSIDE_BOX,4.371,4.37099981307983,,False,False,False,0,,,,0,0,-0.10236721833547,0.10236721833547,-0.171649540076032,True,,,0,Miscellaneous,Other,1
279,2022102400,1783,"(1:40) (Shotgun) B.Zappe FUMBLES (Aborted) at NE 35, RECOVERED by CHI-Ju.Jones at NE 37. Ju.Jones to NE 37 for no gain (R.Stevenson).",2,1,10,NE,CHI,NE,39,01:40,14,17,N,71,0.699925906956196,0.300074093043804,1.86782083031721,SHOTGUN,2x1,7.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_LEFT,,-2,-2,-0.171425521373749,0.171425521373749,-5.12673187570181,False,TRICK,LEAD,0,Cover-2,Zone,1
